file_name,cell_id,n_tracks,bound_fraction
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_10,3,42,0.166666667
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_11,1,37,0.162162162
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_11,2,34,0.470588235
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_13,1,43,0.488372093
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_14,3,42,0.404761905
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,44,0.477272727
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_2,1,48,0.291666667
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_2,2,51,0.254901961
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_2,4,31,0.322580645
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_3,2,77,0.25974026
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_4,1,73,0.369863014
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_5,3,51,0.509803922
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_5,4,33,0.242424242
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_6,3,53,0.320754717
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_6,4,33,0.212121212
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_7,2,35,0.571428571
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_7,4,35,0.228571429
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_9,2,46,0.217391304
