file_name,cell_id,track_id,radius_of_gyration,log_rg
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,279,1.579109915,0.456861343
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,424,1.984904556,0.685570831
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,566,1.27671798,0.244292707
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,569,1.803100066,0.589507442
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,658,2.154719775,0.76766068
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,895,4.710825131,1.54986308
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,910,1.896463252,0.639990705
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,912,2.175619747,0.777313565
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,914,2.559476078,0.939802581
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,917,2.182047787,0.780263788
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,929,2.681026923,0.986199901
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1034,0.262758848,-1.336518597
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1230,3.203671308,1.164297436
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1309,0.785941629,-0.240872752
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1340,0.856438156,-0.154973169
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,2,861,2.327960392,0.844992516
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,2,1005,2.351855529,0.855204604
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,57,1.965659901,0.675828017
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,113,1.345051016,0.296431942
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,377,3.089699552,1.128073854
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,389,2.410404809,0.879794704
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,837,0.565394041,-0.570232373
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,1061,2.192837124,0.785196196
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,1091,0.787956389,-0.238312534
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,1093,1.843936946,0.61190293
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,1097,2.520109955,0.924302534
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,1098,1.315224928,0.274007699
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,1135,3.423209475,1.230578554
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,196,1.427863649,0.356179375
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,300,0.933901289,-0.068384533
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,522,2.577547063,0.946838196
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,638,1.387928438,0.327812303
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,697,2.314651801,0.839259266
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,700,1.787950293,0.581069876
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,4,866,2.105909993,0.744747674
